dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_lin_shuf,gain_gbt_shuf,rho_absres_P,wet_dry
CAMELS-US,01411300,1060,0.897156079841839,0.6961262,0.686044,0.24337132275104523,0.08282265812158585,0.5160937053524577,-0.2506985895141929,0.43757060528798697,0.04367074897119039,-0.05408506753326425,0.27071026788716684,2.938463076055464
CAMELS-US,01413500,857,0.5507041472725296,0.24981672,-0.06788409,0.5757752656936646,0.09333647787570953,-4.575559950213771,-0.677124810387892,-3.1483433021956424,-0.08068936009115801,-0.8789653964356146,0.400486537588769,6.168812867144925
CAMELS-US,01414500,857,0.597849101091305,0.31238645,0.097287655,0.6238260865211487,0.10435588657855988,-2.3695838549121886,-0.5292750374646025,-0.985687276958227,-0.11779237124993047,-0.5442339911599816,0.33813810947714584,5.977871560235635
CAMELS-US,01415000,857,0.5170625406129326,0.48805368,0.41941804,0.5083078742027283,0.10659120976924896,-0.3792233897747501,0.236882178876332,0.058931559536309464,0.008427087309613057,-0.29370551554088586,0.37248434171977296,4.768759781440933
CAMELS-US,01423000,857,0.7297768934291,0.52735674,0.51013494,0.5292360186576843,0.10439219325780869,-0.44656480494101425,0.41074004763488814,0.2565373403017671,-0.07250583680071365,-0.4589307463850174,0.3917960476295059,5.069689620857704
CAMELS-US,01434025,857,0.4049213466456207,0.12345129,-0.3682655,0.6528616547584534,0.10026651620864868,-0.8183202425931495,-0.07318394939360506,-0.4415010357287388,0.017035418562425186,-0.013368340380004673,0.3634480562872119,6.511262976364781
CAMELS-US,01435000,857,0.4005643097051617,0.15114528,-0.27151835,0.666696310043335,0.08790013939142227,-0.40075408044599814,0.023645603208693466,-0.13857384580295462,-0.02899724192812525,-0.22704484959169657,0.4221336846915874,7.584701397053694
CAMELS-US,01439500,1244,0.8439016171637258,0.648759,0.6659971,0.394564688205719,0.0903034433722496,0.3088064035395617,0.1893188817893139,0.1859745993526004,0.023244210021633682,-0.2790343970917166,0.33545015263041694,4.369320520583486
CAMELS-US,01440000,1314,0.6627474844119566,0.37905127,0.3129928,0.7014400362968445,0.10348948836326599,0.02843835769993497,0.2581527966792916,0.027849202279125018,-0.011475170597045503,-0.2042045046209462,0.3528055002187647,6.777886792083353
CAMELS-US,01440400,1306,0.7184091617466998,0.5031408,0.45285934,0.49974915385246277,0.11072008311748505,0.4313808780355429,0.31332353496782694,0.20017712436127577,0.048973197818507286,-0.09494625303314574,0.30888590415896144,4.51362697517287
CAMELS-US,01451800,1286,0.673373047417652,0.39881307,0.30318248,0.7055368423461914,0.116331547498703,0.2357293112684833,0.3971296455297748,0.14482068663214243,-0.004165104974285461,-0.191948233537246,0.3589587818185022,6.064879712479176
CAMELS-US,01466500,1164,0.7719271909211106,0.41743135,0.19541371,0.1843797266483307,0.04074179008603096,-0.22735376286776887,0.13853880572347677,0.008598460276336262,-0.04799075208840331,-0.2919720861235602,0.27687271768643096,4.525567636056044
CAMELS-US,01484100,1223,0.5036994643649866,0.17762107,-0.11173296,0.6727619767189026,0.1260378658771515,-1.3105477477146668,-1.372009101426317,-1.6071377599834684,-0.039606734083914796,-0.6277730043859122,0.22156354370029366,5.337776643843212
CAMELS-US,01485500,1314,0.8470091842770118,0.6005488,0.6477306,0.3966635763645172,0.23804312944412231,0.2973861050188573,-0.22222220186598718,0.025926914730872608,0.016177958515303903,-0.08442380352794121,0.17813381704339762,1.6663517123590375
CAMELS-US,01486000,1286,0.7534953968250387,0.41505516,0.45207077,0.6865811944007874,0.131967231631279,0.27064030325362176,-0.123019604287119,-0.11681442639890438,0.02821293963719429,-0.17173647719095753,0.1728108193994603,5.202664221366096
