dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_gbt_shuf,wet_dry
CAMELS-AUS,143107A,1314,0.7625034354029057,0.24432647,0.643262,3.3805768489837646,0.08333826065063477,0.04051177954205576,0.016296112628523818,0.01996959509417351,0.0005961077322226283,40.56452369645197
CAMELS-AUS,143110A,1314,0.4836044231059945,0.2443496,0.4549945,3.6065673828125,0.07146882265806198,0.09776251617103537,0.0898105053581747,0.02071359359554248,-0.0009399185933622878,50.4635063049505
CAMELS-AUS,143209B,1313,0.6310774398450338,0.26481485,0.29649633,3.1012208461761475,0.05388709902763367,0.1421557486175138,0.03239565737580741,-0.01080994261585011,0.005146180100285669,57.55033954575696
CAMELS-AUS,143303A,1314,0.6746112454841029,0.32577068,0.4154526,1.6072590351104736,0.061492353677749634,0.5203118785046728,0.1447916471316647,0.1165362952268636,0.0035140233691797196,26.137542946124757
CAMELS-AUS,145010A,1314,0.22437903862094596,0.21886927,0.171704,1.44970703125,0.06198272854089737,0.3956638578206815,0.14036623058211606,0.07076291279721292,-0.0038718294101625084,23.388886958944635
CAMELS-AUS,145011A,1314,0.323747458250225,0.22564614,0.043285787,2.5806703567504883,0.13383392989635468,0.34697369974029924,0.22071317027937098,0.11313053159446917,-0.0037290144046393525,19.282631532594483
CAMELS-AUS,145018A,1314,0.39847865771461854,0.3409925,0.26597458,1.6983702182769775,0.08708683401346207,0.24358173168175146,0.11161914716680543,0.06811243538881617,0.00679025773159303,19.502031937622625
CAMELS-AUS,145101D,1314,0.2657552880385608,0.2608583,0.3434047,1.8889020681381226,0.09922274202108383,0.4280967132478384,0.10652814970558055,-0.02291958556130802,-0.002967077909685978,19.03698718320796
CAMELS-AUS,145102B,1302,0.3649026409193694,0.24437475,0.33973324,2.0438358783721924,0.14967411756515503,0.5528697873251789,0.06103804975892835,-0.11166291228256453,-0.01184770479570596,13.655239206487954
CAMELS-AUS,145107A,1314,0.3598421479670888,0.3466624,0.49005616,1.517028570175171,0.11409217119216919,0.5277595731514665,0.24282851147225393,0.17566668030838795,1.3601174010391404e-05,13.29651766920966
CAMELS-AUS,146010A,1314,0.3161279700436555,0.34550565,0.5213627,1.7885397672653198,0.14771264791488647,0.5530780897610734,0.2610101970016053,0.1384930696946175,-0.0035715535602878212,12.108237124663113
CAMELS-AUS,146012A,1314,0.4697299743937074,0.23577493,0.31639546,1.5359277725219727,0.10922934114933014,0.5747592461914496,0.22351556720213395,0.0962424942108503,-0.0025543750904399865,14.061494433278396
CAMELS-AUS,146014A,1313,0.388508663056292,0.12308633,-0.2126931,2.0139360427856445,0.11950331181287766,-58.40157090267539,-1.6515190015859202,-4.121300943635497,-6.1669506295065695,16.852554228280585
CAMELS-AUS,146095A,1314,0.4586512679489568,0.24078542,0.38786072,1.6100119352340698,0.12897582352161407,0.4935319835528533,0.19514747813806954,0.0745254202826583,-0.006934565302159523,12.483052181979364
CAMELS-AUS,201001,1314,0.3636996980416866,0.29635227,0.35637432,1.5530593395233154,0.08303958922624588,0.7161534414362476,0.2618006311201686,0.16626732934019683,-0.00960456061612125,18.702637549084216
