dataset,basin_id,model,NSE,RMSE,tail_RMSE_95,tail_RMSE_99,sigma_obs,mean_obs,sigma_rel_spread,rel_tail95_sigma,rel_tail99_sigma,rel_tail95_mean,rel_tail99_mean
CAMELS-BR,54940000,timesfm,0.7811398673724909,96.33592416588564,371.0401892940503,719.1305140259287,205.92303902895128,160.24050504412702,2.7604205497771544e-16,1.801839129044151,3.4922295116517983,2.3155205931975393,4.487819817017518
CAMELS-BR,54945000,timesfm,0.898607332138469,139.24707236751266,511.3214484802212,854.127099697001,437.3033434447828,275.2043990466837,1.2998624344610229e-16,1.1692603227141447,1.9531684641804012,1.8579697499438745,3.1036099083289472
CAMELS-BR,54950000,timesfm,0.9595969631174872,130.7116898825959,239.7369004027314,375.1496388250037,650.2905223151048,372.6690673988422,0.0,0.36866122475419455,0.5768954428082856,0.6432970197286523,1.0066562310724512
CAMELS-BR,55130000,timesfm,0.6307172168053816,33.47528799030043,142.20802028722005,274.3942010200008,55.08645079563342,28.858189107247945,2.5797368517937746e-16,2.5815426158929915,4.981155929576633,4.927822038961671,9.50836519922467
CAMELS-BR,55150000,timesfm,0.8322500001360488,6.1896401801860765,22.0363108960546,31.903948426045112,15.11242431416084,15.022566325533928,2.350856225940858e-16,1.4581585613239996,2.1111072428101467,1.4668805860819785,2.123734902192964
CAMELS-BR,55170000,timesfm,0.8357694059367068,5.581495596507155,17.67901680110339,19.89694072443851,13.772841656590149,12.01321936858531,2.579506660559455e-16,1.2836143217143705,1.4446503648662838,1.471630231554266,1.656253841203401
CAMELS-BR,55240000,timesfm,0.6733007853917268,0.9219313676654722,2.92724087732988,2.4109415445935904,1.6129635245409997,1.5029293272119442,1.376625085109835e-16,1.8148214964519322,1.4947278769243533,1.947690303415763,1.6041616202047788
CAMELS-BR,55241000,timesfm,0.8801994050201695,0.7511772941306314,1.7448006366069784,2.27164363861084,2.1702659893103764,2.513426075899592,2.046243234872682e-16,0.8039570472932703,1.0467120849701363,0.6941921440766817,0.9038036409317451
CAMELS-BR,55330000,timesfm,0.8434830692736416,3.123819058638252,12.354698964399828,9.541763542331852,7.895964894840491,5.487838595627933,5.624255119728895e-16,1.564685143480417,1.2084354058573368,2.251286868065436,1.7387106738040021
CAMELS-BR,55340000,timesfm,0.941032869975607,7.779921049704738,31.64090146404361,3.814757679514284,32.03835390280759,24.305498105078254,0.0,0.9875944800419614,0.11906846684716808,1.3018001658411904,0.15695040122289244
CAMELS-BR,55350000,timesfm,0.9174836382680848,5.627170643223852,16.97910733587033,11.29372113955766,19.58935108154569,18.249366095806113,0.0,0.8667519033780369,0.5765234944508705,0.930394362562122,0.6188555306670662
CAMELS-BR,55354000,timesfm,0.8789632849354624,0.7830580670019165,2.25906807128956,3.3574962111847477,2.2507922119970925,3.0118154504742662,3.9460702545796463e-16,1.0036768650825945,1.491695321002419,0.750068557797533,1.1147748812617477
CAMELS-BR,55355600,timesfm,0.936187844601656,0.3827079267507448,1.2730231808315302,0.9983061366065352,1.5150108756509202,2.150792275540768,0.0,0.8402732952557712,0.6589432146337667,0.5918856950104386,0.4641573935146916
CAMELS-BR,55357000,timesfm,0.8397579152450498,4.364483268309001,16.065371341069525,9.318413949690685,10.902963034832249,7.716311051412556,0.0,1.473486729226236,0.8546680310591419,2.0820015204193436,1.2076254945664542
CAMELS-BR,55360000,timesfm,0.8676987282678574,5.186271327538427,21.325593103256644,29.12165085597021,14.258479789693524,12.738363738233526,3.737474539223158e-16,1.4956428327423412,2.042409238958297,1.6741234228733006,2.2861374862897903
CAMELS-BR,55370000,timesfm,0.9369829340704438,4.000137135400232,14.402478416218829,22.306791740135296,15.934769697326288,14.337824761448013,0.0,0.9038397598325777,1.3998816527532354,1.0045093070843394,1.5558002773275963
CAMELS-BR,55380000,timesfm,0.9778863084408675,3.875673936817525,14.179448635059597,24.59018114749392,26.06253217846982,21.361237575191318,0.0,0.5440549113939588,0.9435069846286,0.6637934054685781,1.1511590122499578
CAMELS-BR,55430000,timesfm,0.9169122241400376,2.878398196217056,11.17399406408238,8.803934219740718,9.985787202872979,9.229472654310442,0.0,1.1189898039152633,0.8816464882415846,1.2106860795414773,0.9538935266934255
CAMELS-BR,55460000,timesfm,0.81654968398712,9.34051319986571,38.91687217016607,64.69939799155642,21.807782466622186,12.499326986439282,1.6291035937459906e-16,1.7845405524257285,2.9668031626132474,3.1135174087682964,5.176230533191893
CAMELS-BR,55465000,timesfm,0.8017068449766407,4.107830933764365,17.683038298942314,36.88912691696927,9.224836968930221,5.432433834761551,1.925624100873676e-16,1.9168943969958276,3.998892017410601,3.2550858117756505,6.790534047726411
CAMELS-BR,55470000,timesfm,0.8979683012450146,8.48228320251293,27.661648074765694,30.15387744088815,26.554932980671843,32.3044724201009,2.6757466730466717e-16,1.0416764408669146,1.1355282825543493,0.8562792084960258,0.9334273300846547
CAMELS-BR,55490000,timesfm,0.890635090160036,16.571073308642234,70.74424283050922,68.14518800930404,50.10852730396773,28.94946310722574,5.672030482554912e-16,1.4118204352995922,1.3599519218739464,2.4437151932137757,2.3539361596068806
CAMELS-BR,55510950,timesfm,0.9505052097897736,0.9281733167659226,3.195870038987328,5.274448746305892,4.172048372935391,2.9297240390520787,0.0,0.7660194114045618,1.2642348014279778,1.0908433683130652,1.8003227184538706
CAMELS-BR,55520000,timesfm,0.8893009566923855,4.107202913357585,13.387237422569047,18.08224431904987,12.344520510043793,17.495509445624414,1.4389840722893728e-16,1.0844679962803638,1.4647992446800773,0.7651813434856659,1.033536312574893
CAMELS-BR,55520001,timesfm,0.9262043708526612,2.581234667272956,8.693341588237914,6.553711721775422,9.501937498833815,7.738196366032989,0.0,0.9149019964933319,0.6897237245119501,1.1234325386723913,0.846930138726268
CAMELS-BR,55550000,timesfm,0.8949645312317993,9.687789753650472,32.70270584420095,56.6442570093605,29.892119934563915,32.618177053079606,1.1885117839007929e-16,1.094024308606737,1.8949561668211894,1.0025914627596688,1.7365856135118534
CAMELS-BR,55559000,timesfm,0.910554105455115,3.056937798085225,11.29115740002791,18.697348722933143,10.221306137305236,8.539008557634086,0.0,1.1046687427566602,1.8292523941429022,1.3223030898514951,2.189639300246075
CAMELS-BR,55560000,timesfm,0.9374719961327456,13.341046191738924,53.262282196556114,62.09652551556847,53.352233554596864,34.78488092006927,0.0,0.9983140095166081,1.1638973924498086,1.5311905859026884,1.7851584905021667
CAMELS-BR,55560500,timesfm,0.9132823415830258,5.909414643047856,23.551203574954435,32.22255439867578,20.06738083897419,12.17895876903283,0.0,1.173606250060002,1.605717988672155,1.9337616639968895,2.6457560953903023
CAMELS-BR,55568000,timesfm,0.8529066931292639,10.50940724192711,37.95132754366022,44.3291443794174,27.401968676949792,16.530152256239834,3.889553032504195e-16,1.3849854363049623,1.6177357511070563,2.295884935320803,2.6817142209131166
CAMELS-BR,55590000,timesfm,0.8942485023356684,1.35402952560611,4.074349654959705,2.249120222148329,4.163752162476256,3.7358412339128892,2.13312028440211e-16,0.9785283792051201,0.5401666896549236,1.09061102971238,0.60203849182119
CAMELS-BR,55610000,timesfm,0.9343706880554196,4.871358667586593,20.137675964201595,38.218228960528535,19.01521242140322,10.613255161294248,0.0,1.0590297661642185,2.009876519576016,1.8974080673799496,3.6009903069048574
CAMELS-BR,55611000,timesfm,0.8433975135027022,3.5118768810703016,14.09768805400629,24.55830490668685,8.874419522290225,4.168952250184909,4.003319507126085e-16,1.5885757957009559,2.7673139459998257,3.381590195325697,5.890761858833378
CAMELS-BR,55630000,timesfm,0.8963185684302406,20.641649507950746,75.33029750132603,71.93222721903723,64.10529558138049,43.674203191803834,2.2167988754004865e-16,1.175102568643422,1.1220949309518524,1.724823625756794,1.6470186508757296
CAMELS-BR,55631000,timesfm,0.8732229278193492,12.289627971469548,42.422532168799066,63.204633939142425,34.515834450889606,20.703841354707745,0.0,1.2290745057651553,1.8311779200665796,2.049017447631901,3.0527974425755846
CAMELS-BR,55660000,timesfm,0.1270911817027936,15.80079135316226,12.018769649498406,8.29823057818248,16.911977723362067,5.4089928440236426,2.1007085847167427e-16,0.7106661235069969,0.4906718016024449,2.221997698291995,1.5341544752367597
CAMELS-BR,55664000,timesfm,0.8850744161909088,2.627851585453516,10.439392081308242,20.8653859261666,7.751619996978684,5.328291480530034,3.4373914873780194e-16,1.3467368221580984,2.69174520091274,1.959238175962134,3.9159618054699603
CAMELS-BR,55699998,timesfm,0.9346966031960056,25.596648605091936,94.56651040698532,71.47507175323882,100.16482126830996,62.402077370323745,0.0,0.944109011622668,0.7135745948348438,1.5154384980772748,1.1453957106118695
