dataset,basin_id,n,ac1,nse_model,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_lin_shuf,gain_gbt_shuf,rho_absres_P,model,wet_dry
CAMELS-AUS,420017,438,0.6129288864643907,0.21988362,0.03061992,2.551644802093506,0.10583415627479553,0.43343603207918546,0.25329138466150236,0.11590550159909219,0.0028228558988764307,-0.016260890345835444,0.23665452576684387,timesfm,24.109842152170884
CAMELS-AUS,421018,435,0.534016915587353,0.38963115,-1.5380762,1.3668545484542847,0.12784837186336517,0.09177558185980772,0.02346640641728781,-0.023451640635059112,0.001681361347383059,-0.0037008410556109705,0.21221325205543276,timesfm,10.691215918768814
CAMELS-AUS,421026,396,0.7075460301955093,0.67508686,-0.017910361,0.6330601572990417,0.17659123241901398,0.17935754244174473,0.1055645427482923,-0.030011437211259206,0.048026361766424164,-0.029339500656267337,0.18388183982077527,timesfm,3.5848900799158745
CAMELS-AUS,421042,438,0.7963771757717377,0.40222442,0.30757415,1.290315866470337,0.5227895975112915,-1.8784949184634572,-1.0209365863998796,-2.150398721105566,-0.15647603095280616,-0.7307785810332912,0.06099772809554703,timesfm,2.4681360773297865
CAMELS-AUS,421048,438,0.6349314943708821,0.2405634,-0.269315,1.871972680091858,0.11213916540145874,0.24982272730755484,0.15626542372500718,0.11846854601372814,-0.003848109434380298,-0.002463872813723622,0.19293097616976557,timesfm,16.693299556762234
CAMELS-AUS,421050,410,0.6234827047910463,0.28076082,0.21105981,2.0097339153289795,0.09942163527011871,0.22679448373405442,0.09421908482276009,0.024220327052682178,0.011937076461068896,-0.0012542377789697134,0.23788978525566878,timesfm,20.214251252946422
CAMELS-AUS,421055,438,0.5141867449391575,0.21861982,0.4328422,3.290973424911499,0.2037016749382019,-0.014443731710769292,0.027507125064765714,0.06919191032109007,0.004805284106823127,0.005957979419144777,0.06127256555110984,timesfm,16.15584862475922
CAMELS-AUS,422202B,438,0.8888017435499107,0.68195057,0.7584299,1.358717679977417,0.35308578610420227,0.08649086562024888,0.04648351896684988,0.03620367905649691,-0.001043480978901501,-0.0005308455769297282,0.16271562462484532,timesfm,3.848123412071971
CAMELS-AUS,422306A,438,0.3547898189494482,0.2515118,0.34101653,3.1926815509796143,0.11991007626056671,0.32962120107578263,0.08445370502953642,0.034306306217549376,-0.00586689566456422,-0.012106582175698932,0.28181391920389903,timesfm,26.625631894703
CAMELS-AUS,422313B,438,0.42798973967949266,0.85629225,-0.7521241,1.6002286672592163,0.14657168090343475,0.7662611510441202,0.09929240144327933,-8.54544275759613,-0.13760871761619242,-0.30494733133664775,0.24422111014292266,timesfm,10.917720649690091
CAMELS-AUS,422319B,437,0.25486531678546515,-0.0029143095,-0.12697756,3.380295515060425,0.11859221756458282,-0.11567003242899587,-0.028669940864550547,-0.10861831588073634,-0.00043800893374790206,-0.005207496790308186,0.11680436341153429,timesfm,28.503518902659756
CAMELS-AUS,422321B,438,0.2889216613819903,0.28822,-2.2651548,0.7968658208847046,0.10510914772748947,0.15464877331917515,-0.5823720669785151,-0.7228935509859351,-0.24508145116735358,-1.0647860407806227,0.34932201480171465,timesfm,7.581317498175263
CAMELS-AUS,422334A,438,0.41270152325988163,-0.12592292,-1.8130772,6.247509002685547,0.2135826051235199,-2.4366634511425267,-0.6990634615920526,-0.06369352119520633,-0.08419255710104911,-0.33183549892082564,0.125133920896947,timesfm,29.25101975918153
CAMELS-AUS,422338A,438,0.3318398772840967,-0.0032176971,-0.0052399635,5.84683895111084,0.11984136700630188,0.05375834734930607,0.028419506903735625,0.01523936689169425,0.0012867470528559188,-0.00036872607026317006,0.04978092851311807,timesfm,48.78815301567265
CAMELS-AUS,422394A,438,0.5162306439849519,0.6587776,-4.7244835,0.8921602964401245,0.1533874124288559,-0.31455514175592714,-0.2791919310760145,-0.03951609736618833,0.016507017538497926,-0.04651181911028157,0.24137475246326598,timesfm,5.816385336403833
CAMELS-AUS,424002,438,0.9700544212958542,0.9081846,0.9191854,0.5564576387405396,0.4593055248260498,-1.414142574339524,-1.4457635751404085,-2.6929154827950756,-0.17438492140783235,-0.8535830818055028,0.07949821794941271,timesfm,1.2115195848151046
CAMELS-AUS,424201A,434,0.9467744977113919,0.88912535,0.8951554,0.7351317405700684,0.41938233375549316,-0.19394326737188727,-0.40877057538822625,-0.4040078603750996,-0.01245848560306606,-0.12259443359998667,0.05030286456579829,timesfm,1.7528915297578136
CAMELS-AUS,602004,438,0.6884666426665979,0.26176357,0.2510745,1.1512387990951538,0.09886575490236282,0.011877551527157304,0.01274970655774299,0.007474938420511945,0.0007053309392255347,0.0003448631708505845,0.16545798567782855,timesfm,11.644464761656717
CAMELS-AUS,603003,438,0.7890129200833124,0.7181696,0.7458267,0.6371609568595886,0.2878141403198242,0.07681510217795195,0.04348674193769553,0.04251663973732378,0.0010263609161493825,0.012333142982908774,0.26360428186597606,timesfm,2.213793096307096
CAMELS-AUS,603004,438,0.8142834015380855,0.5239919,0.51353395,0.7157695293426514,0.13114480674266815,0.061522438627385045,0.042071994388358847,0.03897346231035481,0.003997168093774817,0.009104285212009011,0.17412671451544656,timesfm,5.457856449833592
CAMELS-AUS,603005,438,0.8223349862249375,0.5969028,0.60473514,0.7610191106796265,0.1253846436738968,0.5004448476709829,0.11000588676778178,0.12587389552647033,-0.005591442850661821,0.002361635051014055,0.28450813561418586,timesfm,6.069476200442074
CAMELS-AUS,603007,438,0.5330086963187592,0.21620256,0.5412842,2.3071677684783936,0.12270621210336685,0.07745388319006541,0.022066968066848935,0.02021532723196362,-0.000991567622838918,-0.0012853110640576038,0.2317794103261319,timesfm,18.80237136270535
CAMELS-AUS,603136,438,0.9182793423610712,0.7686306,0.7779612,0.600928544998169,0.14053593575954437,0.24239443729435317,0.09048349224424046,0.07842951746529814,0.009775803017027962,0.010554838038756564,0.22587097415331167,timesfm,4.275977825531769
CAMELS-AUS,603190,438,0.7564207550833985,0.4711132,0.4082873,1.1063523292541504,0.17929846048355103,0.215449317603571,0.11057763879094384,0.06696232214616316,-0.024257831995204038,-0.012178241417947433,0.19992116000547164,timesfm,6.170450801810694
CAMELS-AUS,604001,437,0.951240634433781,0.9118397,0.9036599,0.47474050521850586,0.2363317757844925,0.12022267068476145,0.037068993102706616,0.06320431266014304,0.005460819953979734,0.024163087419829643,0.271659780958089,timesfm,2.008788296210387
CAMELS-AUS,604053,438,0.9533798743026402,0.8785985,0.94242185,0.5648133158683777,0.05788864567875862,0.17583464558499717,0.1476265928286259,0.011632490809052154,0.021729956857084898,0.014237300295141808,0.27086721404143765,timesfm,9.756892897489697
CAMELS-AUS,605012,438,0.9796178493033749,0.9227401,0.96280694,0.4173470735549927,0.10510033369064331,0.13081360245884732,0.23393803486858733,0.10237491501433094,0.0130854638997292,-0.002788630168551798,0.2679192195575772,timesfm,3.9709395669801526
CAMELS-AUS,606001,438,0.952351104462786,0.8791723,0.9082214,0.5187875032424927,0.11778919398784637,0.18459363265705397,0.11779679116063946,0.2668025100805267,-0.016309107387923794,-0.08867314718175567,0.26011822047729066,timesfm,4.404372639616006
CAMELS-AUS,606002,438,0.8984315448653556,0.63332605,0.6975118,0.9879339933395386,0.16440701484680176,0.15286998195635026,0.1433465259541733,0.15460135141028286,-0.017152681461995334,-0.07698658748697018,0.25521439549913405,timesfm,6.009074456221459
CAMELS-AUS,606185,376,0.9398993756654839,0.7340511,0.86335325,0.486797958612442,0.0908326506614685,0.04725638127565568,0.05466814339633208,0.04079129884734345,0.006040242633281623,0.01804854375524756,0.20397640120172147,timesfm,5.359283859575213
